AnchorsRate,Order,NumSampling,K,Seed,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,3,2,5,2,2,0.563646470261256,0.671710292587756,0.599777654252362,0.498185614833406,4.7696218
10,3,2,5,4,1,0.540856031128405,0.667379416756897,0.579210672595887,0.494649500834481,4.2611858
10,3,2,5,4,2,0.558643690939411,0.639576383556007,0.593663146192329,0.44847588249612,4.2611858
10,3,2,5,6,1,0.545302946081156,0.640824201061612,0.589772095608671,0.455770302628342,4.8454492
10,3,2,5,6,2,0.590883824346859,0.676057515845214,0.626459143968872,0.501183118841043,4.8454492
10,3,2,5,8,1,0.546414674819344,0.639745242525351,0.58810450250139,0.454322324153314,4.3387886
10,3,2,5,8,2,0.590883824346859,0.674414421696512,0.626459143968872,0.50010377432317,4.3387886
10,3,2,5,10,1,0.56420233463035,0.660826370840514,0.588660366870484,0.492309899275563,4.3833438
10,3,2,5,10,2,0.581434130072262,0.675214109073227,0.617009449694275,0.503446239003395,4.3833438
10,3,2,7,0,1,0.560867148415787,0.659564975895902,0.587548638132296,0.494900197411713,4.3687442
10,3,2,7,0,2,0.620344635908838,0.668638853763928,0.621456364647026,0.503421721962256,4.3687442
10,3,2,7,2,1,0.559199555308505,0.649804977232617,0.586436909394108,0.485944805272536,4.3237474
10,3,2,7,2,2,0.584769316286826,0.64472645842815,0.593663146192329,0.495166888819597,4.3237474
10,3,2,7,4,1,0.50639244024458,0.634361674835193,0.564758198999444,0.473515059336924,4.0587842
10,3,2,7,4,2,0.560867148415787,0.641687121594322,0.595886603668705,0.479234725734176,4.0587842
10,3,2,7,6,1,0.560867148415787,0.64871269376821,0.586436909394108,0.487759847062673,4.4030391
10,3,2,7,6,2,0.617565314063369,0.660075123478052,0.619788771539744,0.496519017491364,4.4030391
10,3,2,7,8,1,0.544747081712062,0.629044745644071,0.583657587548638,0.447459353064082,4.4146566
10,3,2,7,8,2,0.581989994441356,0.644994503204632,0.617009449694275,0.45882420294649,4.4146566
10,3,2,7,10,1,0.560867148415787,0.657933871484292,0.588660366870484,0.490091884554254,4.2589791
10,3,2,7,10,2,0.586436909394108,0.650691971535343,0.597554196775987,0.486568085008631,4.2589791
10,3,2,10,0,1,0.505280711506392,0.609156084658797,0.556420233463035,0.455119642474315,4.5992532
10,3,2,10,0,2,0.504724847137298,0.617215313287396,0.560867148415787,0.461988108310791,4.5992532
10,3,2,10,2,1,0.559199555308505,0.639898962083093,0.583657587548638,0.480709610747503,4.1465933
10,3,2,10,2,2,0.559199555308505,0.639898962083093,0.583657587548638,0.480709610747503,4.1465933
10,3,2,10,4,1,0.558087826570317,0.644254564977947,0.592551417454141,0.482791113389848,4.2436336
10,3,2,10,4,2,0.586992773763202,0.632503113355802,0.58810450250139,0.469673951561124,4.2436336
10,3,2,10,6,1,0.526403557531962,0.625438754010405,0.556420233463035,0.469375231801477,4.3419954
10,3,2,10,6,2,0.558087826570317,0.644466790502382,0.58254585881045,0.483926260429,4.3419954
10,3,2,10,8,1,0.558643690939411,0.645729880349259,0.594219010561423,0.486147718212173,4.4699741
10,3,2,10,8,2,0.581989994441356,0.66042091866724,0.617565314063369,0.50215886910747,4.4699741
10,3,2,10,10,1,0.558087826570317,0.660093788824945,0.595330739299611,0.494541248928803,4.0466371
10,3,2,10,10,2,0.505280711506392,0.647780047035409,0.575875486381323,0.482393671652349,4.0466371
10,3,2,15,0,1,0.554752640355753,0.624466941297123,0.581989994441356,0.470315851043088,4.9029285
10,3,2,15,0,2,0.554196775986659,0.62555383269205,0.581434130072262,0.471849660692535,4.9029285
10,3,2,15,2,1,0.501389660922735,0.621143629590659,0.560867148415787,0.464960445464627,4.2845258
10,3,2,15,2,2,0.580322401334075,0.643052538856459,0.591439688715953,0.493739461632422,4.2845258
10,3,2,15,4,1,0.556976097832129,0.620440264930246,0.580878265703168,0.468548176097165,4.2986804
10,3,2,15,4,2,0.508060033351862,0.592536958730145,0.536964980544747,0.445756704340266,4.2986804
10,3,2,15,6,1,0.555308504724847,0.631692212466062,0.579766536964981,0.474111832475159,4.7716642
10,3,2,15,6,2,0.510839355197332,0.610738787986651,0.549193996664814,0.458334178756214,4.7716642
